Q1,您的受教育情况,单选题
,本题选项:,
,1,初中及以下
,2,高中
,3,大专
,4,本科
,5,硕士及以上
Q2,您认为社会主义核心价值观中哪几个词相对来说更是国人所需要努力达到的？（不多于4个）,多选题
,本题选项:,
,3,富强
,4,民主
,5,自由
,6,平等
,7,文明
,8,和谐
,9,公正
,10,法治
,11,爱国
,12,敬业
,13,诚信
,14,友善
Q3,（可不填）请简述你选择的理由,填空题
,本题选项:,
,1,选项1
Q4,十三五规划建议的目标您认为哪个更有望见到明显成效？（不多于2个）,多选题
,本题选项:,
,3,全面建成小康社会
,4,经济保持中高速增长
,5,人民生活水平和质量显著提高
,6,国民素质和社会文明程度显著提高
,7,生态环境质量总体改善
,8,各方面制度更加成熟更加定型
,9,不是很了解
Q5,请问你对于中国加入SDR（特别提款权协定）有何看法？,多选题
,本题选项:,
,3,此举说明我国社会主义发展良好，我国经济实力以及综合国力提升得到世界认可的体现
,4,中国加入SDR是种必然趋势，无论是哪种政治制度效果相似
,5,社会主义国家不需要过多关心资本主义的市场经济
Q6,当今现存的五个社会主义国家，经济发展状况各自相比有较大的差距，对此您有什么看法？,多选题
,本题选项:,
,3,国际经济的发展时期以及发展阶段不同，经济存在差距是正常现象
,4,说明政策对于社会主义先天性地有极大影响，政府调控才是国家社会主义的主导
,5,当前社会主义发展存在不均衡，但是各社会主义正在共同努力谋求和平发展
Q7,你认为十三五强调的供给侧转移（即将供给更多地放在于底层人民有益的地方）有何看法？,多选题
,本题选项:,
,3,政府深刻了解到了当前我国社会主义发展的不平衡，是种合时宜之举
,4,供给侧转移有利于使社会福利实现均衡化，使更多的保障资源流向社会底层
,5,供给侧转移是社会主义发展的必然的无奈之举，说明当前社会主义发展状况堪忧
Q8,以中国为主的主要社会主义国家由于发展态势良好受到了他国的干预，如美国等国提高门槛，设立TPP，对此，你有何看法?,多选题
,本题选项:,
,3,中国作为社会主义发展最为良好的一国，在受到多种阻碍时也积极地构建自贸区，社会主义具有强劲发展能力
,4,社会主义受到资本主义的阻力可以理解，但是这也正是中国等社会主义国家的发展黄金期，是挑战更是机遇
,5,我们社会主义国家同命运，共存亡，作为经济全球化的一大成员，时刻为全球发展注入了新的活力
Q9,请问您读书看报，关注新闻动态的频率是？,单选题
,本题选项:,
,6,时时关注
,5,每天一次
,3,一周一次
,4,不太关注
Q10,请问您对于孔子学院遍及全球的看法是？,多选题
,本题选项:,
,4,扩大中国在国际上的影响
,5,有利于中国相关产业在国外的发展
,6,实质上并没有什么作用
,7,提高中国软实力
Q11,请问您对大型非物质文化遗产纪录片《舌尖上的中国》以及《指尖上的传承》的具体内容知道哪些？,多选题
,本题选项:,
,10,自然的馈赠
,11,主食的故事
,12,转化的灵感
,13,时间的味道
,14,厨房的秘密
,15,五味的调和
,16,我们的田野
,17,泥人张
,18,紫砂
,19,歙砚
,20,玉雕
Q12,请问你对于“互联网+”时代下，文化教育方式多样化，教学工具多元化，各种文化资源可从网络上获取的现象如何看待？,单选题
,本题选项:,
,3,有利于文化教育更便捷更广泛的交流和传播
,4,文化教育是一个逐步积累，循序渐进的过程，应采取传统方式教学
,5,时代影响教育方式，顺其自然
,6,知识不是廉价的，能够随意获取的知识实际上并无多大用处
Q13,您认为以下说法正确吗,矩阵单选题
,本题选项:,
,1,正确
,2,错误
,3,不清楚
Q15,我国刑法中对他贪污受贿一类犯罪有一项“巨额财产来源不明罪”罪名，对此您的见解是（最多选2项）,多选题
,本题选项:,
,3,应保留，此条法律对贪官们形成了有力的打击和震慑；
,4,应保留，但更应作为定罪参考而非单项罪名；
,5,应废止，因为可能对选择性执法开方便之门；
,6,应废止，因为是否保留财产来源是公民的基本权利。
Q16,近年屡现“医闹”事件，医患纠纷成为社会焦点，从法治的角度，您的看法是（最多选2项）,多选题
,本题选项:,
,3,患者家属殴打、逼医生集体下跪等行为已触犯刑法；
,4,《医疗事故处理条例》作为行政法规没有足够的效力解决医闹乱象，应适当修订其中一些条款并加入刑法；
,5,应通过规范出台相关法律法规来规范医疗行业乱收费、药价虚高等现象；
,6,医疗体系的弊病是一个系统问题，很难单靠立法与执法缓解矛盾、解决问题。
Q17,拐卖儿童的犯罪案件时被报道，为全社会深恶痛绝。如何才能降低乃至杜绝此类案件的发生、更好地保护儿童，以下三条举措中您认为比较好的是（最多选2项）,多选题
,本题选项:,
,3,人贩子最高量刑应当定为死刑，只有加大量刑才能最有效地打击拐卖人口犯罪；
,4,应当出台相关法律，建立合法的平台与审批手续，允许双方自愿 过继 和 收养 子女；
,5,无法生育或子女夭折的夫妻应谋求其他人道方式解决困难，自愿过继与领养决不能合法化。
Q18,您认为我国立法、执法等法治方面中最严重的问题有,多选题
,本题选项:,
,3,公民有法不依、知法犯法
,4,政府执法不严、执法犯法
,5,政府执法体系权责脱节，出现权钱交易，以权压法
,6,公民法律与权力意识淡薄
,7,政府立法效率低，法律条款漏洞很多，部分条款可操作性不强
,8,政治法律不分家（在我国政府是执法主体）
,9,司法公信力低
,10,基层法治工作薄弱
Q19,您认为，法律存在的根本目的是,多选题
,本题选项:,
,3,构建理想社会的一种手段
,4,保护和扩大个体自由
,5,预防犯罪，制裁犯罪
,6,由国家按统治阶级的利益制定或认可，并由国家强制力保证实施的规范综合
Q20,您认同中国的裁军政策吗？,单选题
,本题选项:,
,1,认同，有助于减少国家军费开支
,2,认同，有助于提高军队素质
,3,不认同，会削弱国家军力
,4,不认同，会影响国家发展
Q21,您认为中国与其他国家发生争端的主要原因是？,多选题
,本题选项:,
,3,意识形态
,4,经济利益
,5,领土争端
Q22,下列关于社会主义和共产主义的说法您认为正确的是？,单选题
,本题选项:,
,3,社会主义思想包含共产主义思想
,4,共产主义思想包含社会主义思想
,5,社会主义思想和共产主义思想是相同的
,6,社会主义社会是共产主义社会的初级阶段
Q23,据您了解,矩阵单选题
,本题选项:,
,3,按资本分配
,4,按劳动价格分配
,5,按劳分配
,6,按需分配
Q24,请您判断,矩阵单选题
,本题选项:,
,1,是
,2,否
Q25,（可不填）您对本次调查以及我们的课题有何意见建议,填空题
,本题选项:,
,1,选项1
